"","Month","Day_of_month","Day_of_week","ozone_reading","pressure_height","Wind_speed","Humidity","Temperature_Sandburg","Temperature_ElMonte","Inversion_base_height","Pressure_gradient","Inversion_temperature","Visibility"
"45",2,14,6,4.04,5650,5,61,41,42.2480752886548,5000,51,36.32,100
"46",2,15,7,3.15,5610,5,62,41,42.4611034347323,4281,42,41.36,250
"47",2,16,1,7.11,5730,5,66,49,52.3922803311718,1161,27,52.88,200
"48",2,17,2,10.6,5770,5,68,45,52.88,2778,2,55.76,200
"49",2,18,3,12.77,5770,3,82,55,55.4,442,26,58.28,40
"50",2,19,4,4.1,5700,5,73.0234274655794,45,38.12,3043.72593171081,82,49.1229857720473,2
"51",2,20,5,5.73,5690,8,21,41,43.88,5000,-30,42.26,156.964128020083
"52",2,21,6,4.85,5700,3,19,45,52.6738083556817,5000,-53,43.88,169.660459841354
"53",2,22,7,3.61,5730,3.99811950852864,19,51,53.9791159224458,5000,-43,49.1,169.237012279397
"54",2,23,1,4.04,5690,7,19,53,50.18,5000,7,49.1,142.566852794979
"55",2,24,2,6.04,5640,5,68,50,37.4,5000,24,42.08,148.196360475475
"56",2,25,3,10.27,5720,6,63,60,53.06,1341,19,59.18,150
"57",2,26,4,15.06,5740,3,54,54,56.48,1318,2,64.58,150
"58",2,27,5,22.89,5740,3,47,53,58.82,885,-4,67.1,80
"59",2,28,6,16.85,5740,3,56,53,57.5966140033953,360,3,67.1,40
"60",2,29,7,6.91,5670,7,61,44,46.4417323674385,3497,73,49.46,40
"61",3,1,1,2.26,5550,10,74,40,38.84,5000,73,40.1,80
"62",3,2,2,3.22,5558.79356061622,7,46,30,29.66,5000,44,29.3,160.482770675128
"63",3,3,3,2.79,5551.83355985888,5.06755330014676,45,25,27.68,5000,39,27.5,200
"64",3,4,4,5.2,5570.88420946114,8,33,39,30.2,5000,15,30.02,158.704489065834
"65",3,5,5,4.32,5530,3,43,40,36.14,5000,-12,33.62,140
"66",3,6,6,6.13,5600,3,21,45,42.0188714181806,5000,-2,39.02,140
"67",3,7,7,6.98,5660,7,57,51,46.0724844108142,5000,30,42.08,140
"68",3,8,1,7.19,5580,5,42,48,40.64,3608,24,39.38,100
"69",3,9,2,5.65,5510,5,50,45,36.86,5000,38,32.9,140
"70",3,10,3,3.01,5530,5,61,47,33.8,5000,56,35.6,200
"71",3,11,4,1.98,5620,9,61,43,37.04,5000,66,34.34,120
"72",3,12,5,7.63,5690,0,60,49,46.04,613,-27,59.72,123.986595016015
"73",3,13,6,12.22,5760,4,31,56,55.6792777335207,334,-9,64.4,138.047185929362
"74",3,14,7,12.17,5740,3,66,53,50.0833152778418,567,13,61.88,150
"75",3,15,1,15.68,5780,5,53,61,57.92,488,-20,64.94,2
"76",3,16,2,8.7,5790,2,42,63,57.02,531,-15,71.06,50
"77",3,17,3,24.29,5760,3,60,70,58.64,508,7,66.56,70
"78",3,18,4,12.67,5700,4,82,57,50.36,1571,68,56.3,17
"79",3,19,5,8.1,5680,4,57,35,40.1,721,28,55.4,140
"80",3,20,6,10.21,5720,5,21,52,56.8302208303356,505,-49,67.28,140
"81",3,21,7,8.07,5720,5,19,59,57.6924577671257,377,-27,73.22,144.961141595693
"82",3,22,1,8.93,5730,4,32,67,59.54,442,-9,75.74,200
"83",3,23,2,10.18,5710,5,77,57,57.38,902,54,60.44,250
"84",3,24,3,13.02,5750,6,70,64.1241826582269,56.3,3188,53,58.64,80
"85",3,25,4,13.94,5720,4,71,42,44.96,1381,4,56.3,60
"86",3,26,5,8.9,5710,3,19,55,51.8,5000,-16,50,100
"87",3,27,6,11.22,5600,6,45,40,46.7606766276225,5000,38,46.94,150
"88",3,28,7,7.21,5630,4,44,39,47.9009607722277,1302,40,52.7,150
"89",3,29,1,8.6,5690,7,70,57,46.58,1292,-5,53.6,200
"90",3,30,2,12.05,5730,6,45,58,52.52,5000,-14,52.7,100
"91",3,31,3,12.33,5710,3,46,62,52.52,472,34,62.96,122.783574961887
"92",4,1,4,7.93,5610,6,50,51,50,1404,42,54.5,120
"93",4,2,5,9.09,5680,5,69,61,51.44,944,35,55.76,100
"94",4,3,6,4.78,5620,6,67,34,39.0007030747261,5000,75,35.24,200
"95",4,4,7,3.82,5584.31763729573,7,69,35,39.5059953166314,5000,41,30.92,200
"96",4,5,1,4.33,5540,5,54,35,33.26,5000,62,33.44,200
"97",4,6,2,9.32,5590,6,51,48,38.12,5000,44,42.08,157.815104352894
"98",4,7,3,13.12,5690,6,63,59,52.88,2014,31,53.42,118.218191153436
"99",4,8,4,5.09,5550,7,63,41,37.58,5000,56,37.22,250
"100",4,9,5,10.07,5620,7,57,58,46.76,5000,27,47.66,120
"101",4,10,6,10.21,5630,6,61,51,49.8257835529465,524,57,54.68,140
"102",4,11,7,6.95,5580,7,78,46,41.4999349461996,5000,55,38.48,200
"103",4,12,1,4.81,5560,4,65,40,34.7,5000,59,35.24,140
"104",4,13,2,3.65,5563.19199006584,5,44,35,33.08,5000,24,32.54,80
"105",4,14,3,6.76,5610.55423311939,7,51,46,37.4,2490,29,47.48,150.498045112762
"106",4,15,4,2.88,5620,5,73,39,39.56,5000,107,31.28,100
"107",4,16,5,4.34,5567.7836467679,5.9902684757996,35,32,37.3880869194412,5000,36,33.44,162.430442051155
"108",4,17,6,7.28,5660,6,35,47,44.8235981970687,5000,28,39.38,200
"109",4,18,7,10.71,5680,6,61,50,49.3860113483533,1144,30,53.6,120
"110",4,19,1,14.89,5760,4,50,65,56.3,547,1,66.92,100
"111",4,20,2,21.9,5790,4,57,66,63.68,413,10,69.62,120
"112",4,21,3,17.32,5720,5,68,69,60.8,610,46,63.68,60
"113",4,22,4,7.26,5660,6,58,59,42.8,3638,81,51.26,120
"114",4,23,5,9.69,5710,5,65,64,56.3,3848,45,56.84,100
"115",4,24,6,18.7,5780,7,78,68,64.2301556204308,1479,40,68,100
"116",4,25,7,17.98,5750,7,73,49,58.4329739409592,1108,55,65.48,27
"117",4,26,1,12.23,5700,5,41,52,49.64,869,0,58.1,40
"118",4,27,2,5.73,5620,9,47,56,39.92,5000,43,38.3,140
"119",4,28,3,8.68,5650,6,46,55,40.82,5000,49,37.94,150
"120",4,29,4,18.79,5730,5,61,66,59.72,1148,31,60.8,100
"121",4,30,5,21.12,5810,4,55,74,67.28,856,4,75.38,100
"122",5,1,6,28.76,5790,4,60,76,70.8102662718034,807,16,73.04,120
"123",5,2,7,16.28,5740,8,78,70,59.8211342462045,2040,46,63.5,150
"124",5,3,1,5.16,5627.47093714195,8,62,61,44.42,5000,63,42.62,100
"125",5,4,2,11.3,5690,4,71,67,52.52,314,60,59,120
"126",5,5,3,2.24,5609.5587522312,4,67,45,41.72,5000,77,42.62,80
"127",5,6,4,2.39,5680,6,77,41,42.98,5000,75,40.82,120
"128",5,7,5,11.79,5650,8,66,61,51.8,1410,20,55.22,140
"129",5,8,6,16.02,5730,6,74,68,58.8869388470778,360,23,62.42,120
"130",5,9,7,21.84,5730,3,78,69,64.2397552796468,1568,32,67.64,70
"131",5,10,1,19.98,5760,7,78,74,63.14,1184,40,68.72,80
"132",5,11,2,26.89,5830,6,75,74,67.28,898,24,73.4,70
"133",5,12,3,33.04,5880,3,80,80,73.04,436,0,86.36,40
"134",5,13,4,24.89,5890,6,88,84,73.22,774,6,86,20
"135",5,14,5,31.15,5850,4,76,78,71.24,1181,50,79.88,17
"136",5,15,6,18.25,5820,6,63,80,68.692954282795,1991,47,69.62,40
"137",5,16,7,15.87,5794.80238004307,7,68,73,65.9867751536938,2057,71,67.28,50
"138",5,17,1,24.05,5800,7,78,76,67.9034671891989,1597,56,68,50
"139",5,18,2,16.22,5740,3,74,74,63.3506934005449,1184,52,69.44,70
"140",5,19,3,12.24,5710,7,63,66,57.569320990955,3005,58,59.18,80
"141",5,20,4,8.94,5720,8,62,66,53.695889036281,2880,53,57.38,120
"142",5,21,5,12.03,5710,7,69,63,55.3953487990294,2649.40146227064,66,56.3,120
"143",5,22,6,15.85,5740,5,53,69,58.5065013696583,2125,64,59,100
"144",5,23,7,10.5472317026399,5720,3,64,66,55.0280682194968,1751,67,59.9,120
"145",5,24,1,8.19,5690,9,62,62,48.9613966157165,3720,74,50.9,120
"146",5,25,2,8.68,5730,5,71,67,49.82,4337,66,59.36,200
"147",5,26,3,29.39,5780,3,68,80,67.3858757162577,2053,31,72.86,120
"148",5,27,4,20.25,5790,7,79,76,68.6086605658579,1958,70,70.52,40
"149",5,28,5,4.82,5750,3,76,65,51.08,3644,86,59.36,70
"150",5,29,6,4.67,5680,6,71,65,54.2900805945041,1368,75,58.46,100
"151",5,30,7,10.77,5720,3,66,63,53.2660587604534,3539,73,53.6,120
"152",5,31,1,11.83,5770,4,81,62,58.8895040962744,2785,49,63.32,100
"153",6,1,2,18.64,5800,4,72,68,65.005390880732,984,26,69.26,120
"154",6,2,3,16.85,5780,8,92,68,64.76,1804,56,68,70
"155",6,3,4,19.16,5740,6,71,69,64.4,3234,77,62.78,80
"156",6,4,5,16.15,5730,6,64,66,60.44,3441,67,60.98,100
"157",6,5,6,13.74,5760,6,68,70,61.8830690514598,1578,61,60.8,100
"158",6,6,7,10.32,5770,7,59,70,60.0367915020393,1850,76,60.8,120
"159",6,7,1,8.73,5690,8,67,64,54.5,2962,80,59.36,120
"160",6,8,2,6.68,5650,6,66,61,53.78,2670,54,55.4,120
"161",6,9,3,5.27,5610,3,61,52,42.08,5000,76,42.08,150
"162",6,10,4,1.8,5570,9,81,48,41.72,5000,57,40.82,140
"163",6,11,5,11.9,5690,5,63,59,51.8,5000,46,51.26,140
"164",6,12,6,21.72,5760,3,58,67,62.9022966936112,987,28,63.86,140
"165",6,13,7,17.15,5810,5,68,66,65.6944992456892,1148,43,66.92,140
"166",6,14,1,25.66,5830,4,71,74,71.78,898,-24,77.9,60
"167",6,15,2,26.89,5880,6,67,83,72.5,777,-1,82.58,30
"168",6,16,3,14.31,5860,3,64,78,68.72,1279,75,71.6,17
"169",6,17,4,10.77,5830,6,64,75,66.2,1046,69,68.72,80
"170",6,18,5,22.85,5870,4,69,84,74.12,1167,50,74.3,60
"171",6,19,6,26.09,5860,3,77,81,72.5474406321213,987,45,75.74,100
"172",6,20,7,20.75,5800,3,61,79,69.746742881127,1144,57,71.24,120
"173",6,21,1,15.27,5800,4,69,79,66.2,977,60,70.7,150
"174",6,22,2,19.93,5770,5,64,65,65.12,770,26,75.56,120
"175",6,23,3,15.25,5860,4,33,81,72.68,629,-11,86.36,140
"176",6,24,4,17.95,5870,7,38,84,76.1,337,-14,89.78,140
"177",6,25,5,25.69,5870,4,54,83,73.1056300473321,590,26,85.1,120
"178",6,26,6,19.26,5860,6,39,90,72.6473971090913,400,19,83.3,120
"179",6,27,7,12.73,5880,5,43,90,72.0904939040011,580,9,87.26,80
"180",6,28,1,29.87,5870,7,55,93,74.2933235829564,646,25,89.24,140
"181",6,29,2,25.91,5860,4,77,88,71.2722717679768,826,41,84.38,140
"182",6,30,3,14.69,5830,5,63,72,66.1541469638701,823,52,74.48,150
"183",7,1,4,16.29,5820,5,65,72,65.8420817495638,2116,47,70.34,120
"184",7,2,5,16.03,5820,8,64,70,64.6623617552357,2972,52,64.4,120
"185",7,3,6,18.93,5860,6,68,78,69.2227060514503,2752,41,69.98,140
"186",7,4,7,22.86,5870,3,76,87,74.2466643582062,1377,37,78.44,100
"187",7,5,1,28.16,5890,6,71,91,73.7435392836155,1486,33,79.88,50
"188",7,6,2,34.39,5900,6,86,87,81.68,990,22,85.1,40
"189",7,7,3,33.4,5890,5,65,91,74.8734787892748,508,29,85.28,100
"190",7,8,4,23.3252278899363,5890,5,69,90,75.2386884629619,688,37,83.3,80
"191",7,9,5,23.66,5910,4,73,88,79.88,1204,56,79.88,100
"192",7,10,6,16.88,5900,5,69,83,72.5295403007479,2414,63,76.46,60
"193",7,11,7,9.75,5860,3,64,78,68.2530572841237,2385,67,70.34,50
"194",7,12,1,14.27,5830,3,63,79,70.88,2326,64,71.24,70
"195",7,13,2,13.3,5850,9,72,77,69.44,3389,56,68.72,80
"196",7,14,3,16.79,5830,6,82,81,73.22,2818,58,71.78,80
"197",7,15,4,15.31,5817.21718393636,6,83,76,72.32,3083,75,72.32,80
"198",7,16,5,21.87,5810,8,69,76,67.64,2394,54,69.62,90
"199",7,17,6,18.89,5830,4,74,78,69.4248325933752,2746,61,69.44,120
"200",7,18,7,20.23,5830,5,69,75,70.0236580119778,2493,55,72.5,120
"201",7,19,1,24.98,5840,7,72,82,68,1528,42,73.94,100
"202",7,20,2,28.24,5870,6,73,84,74.12,111,40,78.08,60
"203",7,21,3,29.21,5870,4,90,86,74.48,1899,45,76.46,40
"204",7,22,4,20.8422106511276,5850,4,79,70,65.12,2020,37,73.22,50
"205",7,23,5,22.87,5860,3,80,80,67.28,1289,32,75.2,40
"206",7,24,6,25.81,5900,3,73,80,72.312176385466,984,35,78.8,70
"207",7,25,7,14.23,5890,4,71,84,70.7279015092061,836,28,81.5,80
"208",7,26,1,13.02,5880,4,78,84,70.7,826,27,79.34,80
"209",7,27,2,26.1,5890,6,80,81,69.8,1105,39,74.12,80
"210",7,28,3,21.92,5870,8,74,85,71.42,1023,46,77.18,80
"211",7,29,4,10.68,5810.07030738756,6,70,79,67.82,1453,68,70.16,80
"212",7,30,5,14.63,5780.22605789283,6,71,72,66.02,2375,52,66.2,100
"213",7,31,6,14.22,5820,6,63,73,63.1836596072529,2956,46,67.28,120
"214",8,1,7,13.12,5780,6,57,72,58.9046544770079,2988,56,65.66,150
"215",8,2,1,9.35,5770,3,55,68,62.6,4291,60,62.24,200
"216",8,3,2,11.6,5790,4,65,65,56.48,3330,59,58.64,150
"217",8,4,3,15.38,5820,6,70.7555981641633,64,62.06,2177.89332367129,31,67.4295955985438,150
"218",8,5,4,11.77,5840,6,71.4831307384919,75,65.12,1883.05884036103,35,69.8625980857046,150
"219",8,6,5,14.89,5800,7,71.1634566834633,69,63.32,2780.19591060259,49,64.603882131211,150
"220",8,7,6,24.94,5830,4,72.3856131179287,69,70.2833819825047,1500.55603189146,30,74.1093671632393,100
"221",8,8,7,17.96,5800,3,71.8772654507332,72,65.63936137045,2127.80356790342,43,68.6122759697718,100
"222",8,9,1,13.67,5840,7,65,79,67.1,1233,30,70.52,100
"223",8,10,2,22.14,5856.07380722165,3,74,78,66.02,1450,36,69.8,30
"224",8,11,3,23.79,5910,5,72,81,70.88,1069,28,74.3,80
"225",8,12,4,18.77,5890,5,79,80,69.8,984,57,73.4,70
"226",8,13,5,15.74,5870,6,62,76,69.4523731720167,1653,71,68.72,60
"227",8,14,6,6.79,5780,7,65,59,54.8666486374939,3930,68,59.18,150
"228",8,15,7,2.3,5730,5,77,55,48.6252470486421,5000,73,51.62,200
"229",8,16,1,4.26,5780,7,70,66,51.44,5000,45,51.26,200
"230",8,17,2,5.82,5750,7,58,64,56.48,4212,46,56.84,200
"231",8,18,3,12.16,5760,5,58,62,52.16,5000,52,49.82,250
"232",8,19,4,8.97,5730,7,72,67,55.5343044775862,5000,31,57.38,128.46128225624
"233",8,20,5,14.88,5730,5,77,74,64.04,1545,43,65.66,70
"234",8,21,6,17.18,5790,4,57,74,66.0460462492388,994,44,69.62,57.4815496810027
"235",8,22,7,12.63,5750,3,67,70,60.7153998226295,1125,55,68,150
"236",8,23,1,20.24,5880,3,73,77,69.8360761066272,636,16,73.94,89.2027800273765
"237",8,24,2,22.29,5890,7,70,83,70.88,748,32,77,30
"238",8,25,3,23.62,5880,4,73,81,73.76,692,44,77.72,100
"239",8,26,4,25.69,5870,7,73,73,75.2,807,39,78.8,100
"240",8,27,5,32.28,5900,6,71,87,76.46,869,19,78.98,17
"241",8,28,6,32.87,5920,4,77,89,73.5636360685166,800,24,85.64,20
"242",8,29,7,26.63,5930,3,68,92,72.9091284934362,393,6,91.76,4
"243",8,30,1,37.98,5950,5,62,92,82.4,557,0,90.68,70
"244",8,31,2,23.07,5950,8,61,93,81.68,620,27,85.64,30
"245",9,1,3,19.2,5900,5,71,93,82.58,1404,33,84.74,70
"246",9,2,4,19.08,5890,8,77,86,71.42,898,21,80.6,60
"247",9,3,5,14.73,5860,7,71,76,69.44,377,-2,83.3,40
"248",9,4,6,28.39,5840,5,67,81,71.7453166190756,528,17,78.8,50
"249",9,5,7,10.12,5800,6,74,78,66.6188098885568,2818,26,72.68,70
"250",9,6,1,13.95,5760,7,65,73,62.403706953974,3247,10,67.28,140
"251",9,7,2,25.8,5810,6,82,80,71.78,895,0,78.08,100
"252",9,8,3,17.06,5850,4,67,81,70.88,721,0,80.24,120
"253",9,9,4,3.36,5824.33752446959,5,73,69,66.92,774,-27,75.56,100
"254",9,10,5,2.07,5787.07895381984,6,74,59,61.88,134,0,77.18,70
"255",9,11,6,2.6,5760,7,87,52,50.1609709490646,5000,39,51.8,150
"256",9,12,7,13.73,5860,4,71,63,63.2760153879554,1965,13,60.98,50
"257",9,13,1,29.22,5830,5,77,72,68.72,1853,10,70.88,70
"258",9,14,2,18.33,5840,5,78,75,69.26,2342,7,71.42,40
"259",9,15,3,3.35,5800,7,72,55,54.32,5000,56,51.62,70
"260",9,16,4,6.93,5687.88096747125,10,67,59,51.44,5000,37,47.48,120
"261",9,17,5,8.86,5790,3,71,61,50.54,4028,35,55.04,140
"262",9,18,6,18.79,5830,5,71,71,63.9591561233214,2716,26,63.68,140
"263",9,19,7,8.16,5810,5,76,71,59.211854576306,3671,31,65.84,100
"264",9,20,1,15.812726346724,5770,5,76,66,62.96,3431,26,62.24,50
"265",9,21,2,22.86,5780,6,76,72,66.38,3795,31,66.92,70
"266",9,22,3,12.81,5800,6,73,75,67.1,3120,35,66.92,40
"267",9,23,4,14.3188714768744,5770,3,66,71,63.68,4133,28,63.5,40
"268",9,24,5,7.32,5800,5,80,65,60.08,2667,17,63.5,100
"269",9,25,6,3.39,5780,9,73,61,54.5309901241607,5000,39,52.7,120
"270",9,26,7,5.31,5790,8,80,60,53.399814125797,5000,36,48.92,120
"271",9,27,1,11.02,5770,5,75,64,55.94,308,25,68.72,140
"272",9,28,2,12.25,5750,4,68,61,59.54,2982,18,59.9,120
"273",9,29,3,4.6,5640,5,93,63,54.32,5000,30,52.7,70
"274",9,30,4,4.22,5640,7,57,62,54.32,5000,25,51.26,150
"275",10,1,5,5.14,5650,3,70,59,50.9,5000,38,47.66,200
"276",10,2,6,3.75,5710,6,65,56,49.3262661825455,5000,35,47.84,200
"277",10,3,7,10.09,5760,6,66,59,52.4063915881612,3070,13,60.08,200
"278",10,4,1,16.68,5840,4,73,72,63.14,830,0,72.14,70
"279",10,5,2,26,5880,3,77,71,67.64,711,-9,75.56,40
"280",10,6,3,29.79,5890,5,80,75,71.06,1049,-10,78.98,50
"281",10,7,4,18.31,5890,4,73,71,70.88,511,-39,83.84,17
"282",10,8,5,12.36,5890,5,19,71,70.52,5000,-40,67.64,80
"283",10,9,6,6.93,5890,6,19,73,60.6618352029425,5000,-34,69.44,250
"284",10,10,7,14.99,5850,3,73,78,69.1049874819511,377,-3,78.8,200
"285",10,11,1,11.82,5830,5,76,73,65.803708149835,862,27,73.58,2
"286",10,12,2,7,5830,8,77,71,67.1,337,-17,81.14,20
"287",10,13,3,28.15,5860,5,86,73,69.8,492,-2,82.22,7
"288",10,14,4,21.84,5830,5,76,71,69.44,1394,13,75.02,30
"289",10,15,5,18.28,5800,7,66,66,62.96,3146,27,64.04,50
"290",10,16,6,13.9,5830,4,74,69,63.4103468171537,2234,11,66.74,70
"291",10,17,7,23.65,5790,5,71,69,67.7888897879455,2109,21,69.62,17
"292",10,18,1,10.11,5730,4,84,64,56.3,5000,23,54.5,80
"293",10,19,2,13.89,5780,5,74,65,63.14,2270,-7,68.9,50
"294",10,20,3,9.14,5740,7,48,54,62.96,2191,-13,68.72,60
"295",10,21,4,11.75,5710,8,75,62,58.64,3448,12,58.64,60
"296",10,22,5,7.2,5690,6,74,56,52.34,5000,13,48.92,80
"297",10,23,6,6.86,5670,4,67,55,51.9075465654586,5000,11,49.46,50
"298",10,24,7,5.7,5760,4,75,58,55.5506617606348,2719,25,56.84,50
"299",10,25,1,12.6,5820,5,71,48,62.0237347215396,1899,21,62.06,40
"300",10,26,2,5.36,5790,3,35,54,51.6579931887104,5000,-41,52.52,40
"301",10,27,3,2.61,5760,5,23,57,53.42,5000,-21,50.9,142.916301699376
"302",10,28,4,7.37,5800,6,19,60,57.02,5000,-19,54.32,200
"303",10,29,5,8.01,5810,7,59,61,55.76,2385,10,60.44,150
"304",10,30,6,10.17,5750,4,60,63,57.4438546523862,1938,0,62.6,100
"305",10,31,7,11.71,5840,0,38,65,60.2741521335033,590,-11,69.98,100
"306",11,1,1,6.85,5860,3,53.3870086256788,66,65.12,1744.53235761702,-32,72.0711194523932,60
"307",11,2,2,4.71,5870,6,36.9102783603695,68,68.9,2374.29752912649,-42,70.0570734203338,150
"308",11,3,3,5.62,5920,3,22,71,69.08,328,-40,80.6,150
"309",11,4,4,3.65,5900,0,22.9299692093007,70,68.72,2845.25029299837,-43,65.9470786147686,200
"310",11,5,5,4.91,5860,7,19,70,62.78,5000,-29,61.7,144.342522146496
"311",11,6,6,10.87,5840,3,44.2172978509893,70,63.8835374732883,2132.47230687464,-9,70.5013235968624,120
"312",11,7,7,19.8,5840,0,45,68,63.7432546988603,597,-22,73.58,30
"313",11,8,1,3.76,5850,5,52.636867801036,64,64.04,2540.06234703186,-25,67.3749178582175,100
"314",11,9,2,14.18,5810,2,47,69,60.98,469,-4,71.78,50
"315",11,10,3,16,5770,2,73,59,57.2,1541,18,63.14,20
"316",11,11,4,4.82,5710,4,67,49,44.24,5000,24,41.9,200
"317",11,12,5,2.9,5670.20181173801,9,56,39,41.36,5000,15,41.72,120
"318",11,13,6,5.32,5660,3,54,50,47.7661067379635,5000,27,44.6,135.25523899673
"319",11,14,7,1.38,5700,3,71,46,47.7652544270149,5000,54,42.8,200
"320",11,15,1,5.33,5810,5,59,54,54.5,5000,-28,53.6,70
"321",11,16,2,4.1,5860,0,25,60,61.52,5000,-38,63.5,140
"322",11,17,3,10.99,5900,0,24,62,62.6,5000,-36,60.08,150
"323",11,18,4,5.91,5850,5,41,65,59.54,2014,-20,69.98,200
"324",11,19,5,8.3,5780,3,50,66,59.72,436,1,70.34,4
"325",11,20,6,14.17,5790,0,76,66,61.367641974367,830,3,66.02,40
"326",11,21,7,17.61,5780,2,82,63,62.2079311561587,1112,-8,66.38,30
"327",11,22,1,11.89,5770,2,81,62,60.62,1210,-17,67.82,30
"328",11,23,2,9.09,5750,2,85,60,59.72,501,-22,70.88,2
"329",11,24,3,7.01,5780,5,76,63,60.44,875,-15,68.9,0
"330",11,25,4,13.9,5790,5,66,60,62.8025629479472,1601,7,62.06,30
"331",11,26,5,4.2,5750,6,58,58,42.62,5000,59,41.9,60
"332",11,27,6,3.13,5670,8,19,34,51.3386062417096,5000,-63,37.04,150
"333",11,28,7,3.05,5760,0,19,36,53.2918344344101,5000,-52,41,100
"334",11,29,1,2.82,5770,4,19,44,51.26,2280,-54,55.76,250
"335",11,30,2,3.19,5810,2,19,53,55.94,2047,-43,63.5,150
"336",12,1,3,3.01,5810,2,19,52,57.74,5000,-69,56.48,200
"337",12,2,4,3.04,5870,3,19,53,60.8,3720,-50,61.34,200
"338",12,3,5,2.95,5830,2,27,58,59,311,-24,69.98,200
"339",12,4,6,6.01,5760,0,64,55,52.4464030396801,2536,28,56.48,80
"340",12,5,7,6.2,5680,0,52,50,53.5987142214891,1154,-22,61.52,60
"341",12,6,1,4.65,5780,4,19,48,54.14,2933,-40,59.9,179.106668182053
"342",12,7,2,3.29,5810,3,19,51,58.28,3064,-33,62.78,200
"343",12,8,3,4.31,5760,0,32,62,56.12,826,-16,64.76,115.987519822192
"344",12,9,4,7.26,5680,0,58,40,46.94,5000,2,42.98,50
"345",12,10,5,4.98,5750,0,26,44,52.88,111,-52,68.18,40
"346",12,11,6,5.31,5790,5,19,49,56.1897369759786,5000,-48,54.68,70
